,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,kill,steal,home,people,plot,earth,kill,try,kill,scientist,return,human,earth,follow,attempt,4.050078420901923,3.998936237844262,18.154319597993823,6.043530461990077,4.6998357164228945,12.092483317821042,28.17536949160771,27.604629212251876,6.329416078227562,2.050099446267758,26.102756963836754,10.295440596588396,35.55394742312175,5.921931065420716,5.611785317123642
1,steal,turn,return,american,help,discover,monster,turn,leave,change,love,scientist,space,lead,scientist,4.050064158433956,3.859737678375726,17.449261842073394,5.548040322495329,3.3730483975202503,11.009316704565602,26.922992327302318,25.179950421286335,5.484734017641201,2.0500828592309053,22.690666818938883,9.443138344224272,30.765536131064884,4.118888050613487,5.518880369055856
2,order,create,son,escape,change,man,attack,help,young,party,escape,half,destroy,eventually,like,4.0500600635394255,3.652246415314889,15.68636233157742,5.275740624699676,3.266570518934544,9.75907999822446,25.2266070257402,21.95898455075169,5.407891785022945,2.0500782190207882,22.463180783605267,8.04997464710541,28.03929039042901,3.8844065553671956,4.9817078201060925
3,woman,discover,man,follow,concern,human,shoot,come,year,live,fall,discover,alien,burn,earth earth,3.5909004361100583,3.4519008793530097,15.404552799167348,4.746391030787403,2.9174810291401165,9.587412360905118,23.59187265353535,21.1725983384883,5.379310052452941,2.0500727788771025,20.991032801577393,7.47102160357266,26.746089001110303,3.8356712673662567,4.7322712997913365
4,return,police,appear,way,story,planet,later,live,old,try,way,turn,discover,plot,save,3.5419798871996857,3.4170509365677333,14.694848036529644,4.696323347153431,2.7706795708540732,8.893722967236984,22.012646986325276,21.11423996137441,4.90122459038318,2.0500683884111366,18.469759091337142,6.835768963606753,25.70158937466968,3.797957333457126,4.551626155818193
5,young,work,live,discover,instead,woman,time,believe,death,die,try,group,scientist,speak,ship,3.111942860902173,3.3295299991506693,14.014677336613467,4.626524692389046,2.601579286166993,8.886956347263288,21.34084288111968,20.501614901609656,4.822252778363046,2.0500671805848136,17.83803459715814,6.713189081778306,25.313830400795045,3.7878128715646358,4.466105986722811
6,scientist,colleague,meet,destroy,creature,body,creature,story,woman,marry,place,movie,force,appear,planet,3.0500607113025873,3.0500535562160684,13.936804930774297,4.591651858055018,2.5686626150033494,8.472401091797423,20.97953424582746,20.38118377800595,4.609262690280371,2.0500360809541944,17.815116750901648,6.541962329536294,21.958396085113375,3.433488733687331,4.3822187916908755
7,city,leave,love,night,arrive,scientist,body,car,head,mad,leave,wife,earth earth,day,team,3.0500543175703054,3.050053206845492,13.851001430542187,4.392860526845849,2.539582354635953,8.246982139756572,20.411176655080506,20.336003101888238,4.464250140288026,1.0500634995547233,17.542476240306826,6.187113982802888,20.82406912355133,3.401396351566252,4.315986688661555
8,believe,arrive,know,begin,break,mars,fall,hand,time,past,daughter,begin,ship,house,escape,3.0500480043621767,3.0500517242013068,13.665262394913915,4.2563085639528415,2.4957980923062624,7.310983610186084,20.344806364312795,19.86943309304022,4.384853695453343,1.0500552315875806,17.38631584873082,5.972702319697015,20.05985844351699,3.133696987268031,4.194773162834437
9,fight,think,day,monster,return,leave,death,leave,lead,accidentally,bring,scene,cause,young,apparently,3.0500477942574484,3.05004093474319,13.221601134930681,4.125512984297518,2.2716948350558743,7.213659528786037,20.016982984385635,19.38370110097525,4.338424321446197,1.0500414178051034,17.269342921034653,5.8242602531781165,19.733481390722734,3.050053205180691,4.050044274387133
