,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,come,end,kill,help,look,year,lead,plan,day,earth,life,work,scientist,old,year,7.331983862344343,4.24797968101489,112.47351455804092,9.179661621981829,43.95237601456729,52.33805449625141,23.18495980336476,21.64438331675647,101.17290180302258,62.78301419788931,19.087705626016138,12.666379414100483,8.885202708472406,12.761902735973553,17.347894064788562
1,woman,escape,escape,soon,try,world,kill,turn,tell,kill,play,life,human,film,life,5.971701376685679,4.230273850814246,94.20550914315189,9.085545813039289,39.99859912680419,41.830214338355766,21.969812700072755,20.593283354281233,99.95786590980565,61.46593636916891,15.622046310810918,10.138990583139211,8.087891313708697,12.589865817863977,11.22020363814151
2,work,regard,arrive,korean,return,day,create,new,leave,planet,game,order,know,character,film,4.765328971224656,3.878851691682176,89.30692408625409,8.877480389287774,39.80408355269267,39.23261510673437,19.233799889101753,19.210020871868853,93.85870895467541,52.040805975258685,14.4149167900816,9.001157448173203,7.437438181140763,11.809998043346061,8.596937854996302
3,include,follow,power,work,come,meet,destroy,discover,home,alien,kill,use,man,year,work,4.727171939962832,3.7313553735848997,87.92180286970334,8.414211836654054,39.42498033369024,38.59016929452101,19.141523213546105,17.939505675727336,89.73516217881775,51.15723681986197,14.297911139064121,8.951210144158257,7.274406858900467,10.43805751571985,8.534322556182843
4,ask,interfere,save,know,leave,life,program,attempt,time,discover,man,end,power,man,kill,4.49088163755118,3.72617684905278,86.22259591270593,8.143916711662943,35.08324865654149,37.716991086277744,19.12300604003228,17.348804250024518,86.07984414694886,50.64613217534204,13.200660804947965,8.112028222367885,6.109261998650727,9.725480752036502,8.404913050700852
5,scientist,power,fight,begin,change,return,cause,kill,come,space,set,world,character,time,day,4.470222172722651,3.625665400202149,84.03056303945905,8.053353645384068,34.88055194270058,37.14338459701054,18.788895968251744,17.019252646221886,83.80711464703316,47.35543000753649,12.206660125036775,8.003919442254695,6.033698374718507,8.83678220602335,8.252616779888822
6,life,suspect,tell,lead,bring,old,machine,daughter,later,escape,literally,kill,discover,year old,die,4.3825537019687575,3.5584018509235227,82.79218680877109,8.001173764640933,34.74355518185228,36.92148149890221,18.74821742923602,15.603978986204892,81.26047028755555,45.864003273060966,11.88225933610621,7.919784147870541,5.928163749530535,8.175166973351445,8.20813561994462
7,power,hero,battle,end,turn,love,try,work,night,ship,follow,turn,brother,dark,leave,4.291542184052303,3.54836194853,82.02595309136925,7.929838199016925,34.66259818484291,36.16340700534362,18.723154398593472,15.596850943699005,77.36164785023715,42.911262712389664,11.471140543368906,7.458095631354708,5.636500032292879,7.515057808504099,8.129587510497263
8,scientific,break,attack,later,begin,friend,event,fight,live,gun,expect,force,clone,way,live,4.010026859326916,3.5420868735275257,81.18081812595761,7.7704222324137175,34.338660785547965,34.741628858389525,17.988269133339777,15.299469805365947,76.27791934832317,40.85148058404819,11.43680011214189,7.138432154943624,5.245389182392608,6.831957772959922,7.904612387051015
9,long,prepare,fall,cause,time,learn,arrest,experiment,love,scientist,people,attempt,father,story,begin,3.734866122217551,3.451643308520742,80.94778543047212,7.579583619497831,34.32473271787918,33.924390731964,17.87634857430368,15.15083679629391,75.67997739986833,38.379563759128544,11.298380635015707,7.071158515590768,5.134022339106855,6.827956332604908,7.868215248282547
