,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,earth,return,destroy,tell,role,death,lead,daughter,try,send,kill,destroy,discover,agent,man,39.01038175100301,21.79751158051749,43.01230543050978,21.15130125215356,7.7831216000107695,11.918871216219493,10.211347518070118,17.04134232422555,25.17666495799688,10.78132288457304,18.306391998322553,9.042413827949854,20.711906155768176,9.838708757171654,4.297633983334173
1,planet,realize,monster,make,father,woman,help,friend,run,plot,love,travel,man,follow,new,29.05297755977881,20.98366976455394,35.85800220491035,17.36483564737487,7.572619127282216,11.589208005443794,8.389580587784634,15.218885815032262,24.66701864489393,10.609403964144935,15.913261303016146,8.514639249739403,17.600126206022555,9.15843577459626,3.48847185718989
2,alien,body,kill,end,general,young,marry,old,night,involve,come,group,home,turn,princess,20.644372577042034,19.594308447217834,35.752854241453534,17.172774747097233,6.882901853212039,10.871995138912114,8.31347761086517,15.04752854992955,23.835368139167667,9.216357950325717,14.859998873810614,7.091287178403994,17.357843941349792,8.00438532441811,3.010065716882136
3,space,agree,return,scene,wear,man,queen,human,help,film,fall,scientist,body,power,young,19.2000876518727,18.777675401963812,34.799329460200475,16.92515997644242,6.404286755645081,10.20450835634116,8.00997343533107,14.989348979929085,23.832504351284378,8.820005378927522,14.009250822424276,7.078757423895595,16.144797462230624,7.998860353524372,2.747232204265809
4,orbit,time,ship,want,say,love,film,magic,come,offer,end,meet,police,film,unaware,19.01000767716698,17.489960652739377,33.46808373944428,16.262809025416008,6.033797632297453,9.200355704102115,7.210079771240788,14.609588625753824,23.06401733789054,8.494204306238311,13.420572942092933,7.045225211301105,15.13377506831902,7.962056503040345,2.622521159551736
5,spaceship,discover,attack,begin,meet,people,capture,beautiful,away,use,day,help,reveal,appear,people,16.30084234862182,17.09771600332223,33.19316269858705,16.04084985113237,5.777586109049144,8.380140639921944,6.9939526008291795,14.305600960339746,21.225861977404843,7.183505887192233,13.043421627979077,6.845588262124218,13.123306517792605,6.877000694205669,2.6088991107144257
6,astronaut,leave,discover,work,experiment,film,end,love,turn,start,lover,film,struggle,world,thank,15.129568250026932,16.619527808140198,30.456722692616314,15.948877669232338,5.162232829574696,8.060031708056636,6.870516831864465,14.134524563890626,20.963712492562077,6.871404882359177,12.785324049377367,6.588832851969473,12.95265392937636,6.400619066254711,2.149849942546692
7,mission,decide,stop,character,film,fall,story,boy,decide,government,film,evil,die,lead,encounter,13.643720161116901,15.374606203682106,27.734378660046165,15.899172942207187,5.149364215536028,7.902078580697635,6.852237220283683,13.798073120350296,20.431318989358306,6.719784972472573,12.113346918136614,6.560154629475253,12.55450667682371,6.084795220344209,2.1471954248774816
8,race,set,force,meet,try,end,battle,father,tell,play,young,escape,shoot,secret,suicide,12.121906430913334,14.296615836139276,26.817348325093477,15.532021203742978,5.078752779598842,7.884087337032995,6.755714431178571,13.714139976579807,20.336620863119393,6.588679102106869,11.856022799419888,6.50737132949772,12.178172277340822,6.072218818773522,2.0100640476491862
9,send,kidnap,world,man,bring,new,set,return,instead,movie,fall love,story,enter,car,old,11.764633923908352,13.808125114847638,26.460922107343787,14.58672592928218,5.0460840929273765,7.684405312139861,6.695774188753486,13.281795695814887,19.86034986074399,6.574222804959566,11.542594752299358,6.170324626382697,11.89422219860971,5.794351065417333,2.010050595326115
