,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,attempt,contact,war,time,love,reporter,money,fall love,arrive,escape,catch,love,help,expedition,love,16.57603362672938,4.833804627395214,7.297366160585994,15.239111589049127,8.081104678839703,7.010102412824849,13.40898810790388,5.526450880276488,33.461220487490976,5.992685583042853,4.0101013836495,14.765233408043105,11.37047962473315,9.010019632335505,31.80762904844085
1,death,early,world war,attempt,life,newspaper,time,love,house,friend,marriage,fall,kill,large,leave,15.777830295906988,4.4915052936497375,6.855940095299415,14.47992475040387,7.978288407818758,4.727781808322076,11.93034806037099,5.159049124936452,31.17701702767931,5.828990153503049,4.0100507826878005,12.759247589715963,10.976008728525386,7.047325958638485,26.427400530886167
2,man,come,film,raise,live,murder,tell,fall,away,age,fall,story,way,suddenly,soon,15.03347408854788,4.099209143322383,5.963549393160711,13.394051993216054,7.9187727658833085,3.6232829107350746,11.833284573496083,4.943826021850644,29.905928081676777,5.706869736152839,3.579334436406418,9.896823129966267,10.713758652552082,6.012790157824131,23.864708071603914
3,return,start,new,death,make,kill,send,investigate,leave,return,end,film,return,reveal,meet,14.650571743322834,4.0100881886414985,5.0679504501701516,13.364347044969168,7.338719247430384,3.2532075301388788,11.542338323865376,4.687288564062832,28.49956949783855,5.593729150643697,3.3880783148922395,9.72268391697557,9.236970357930048,6.00283703338024,22.97060727865832
4,body,wealthy,look,world,come,city,daughter,discover,kill,end,story,fall love,lose,discover,day,14.528090090871894,3.6803427280220284,4.735518938805773,13.331971463627168,7.326705299133034,3.055586553745867,10.455387955895938,4.597750518660094,25.73790081145155,5.286516912405163,3.2652361610439202,9.463046104344732,9.210107291444057,5.420894443983604,22.218380447050208
5,life,face,woman,leave,wife,release,man,reveal,night,woman,kill,marry,love,earth,fall,14.022246567813994,3.3831643239681126,4.599593602783334,13.309859403231293,7.208435932859298,3.010057684898496,10.084652748807331,4.296329371457139,25.720997502691908,5.236585540590881,3.2333643891921535,9.21364319691722,9.004254084788199,5.071763186627521,21.35941262754262
6,police,decide,world,try,daughter,wealthy,make,help,room,year,brother,young,film,street,tell,12.909485936999927,3.014245049244479,4.147625604842919,12.974157682772406,7.203766467150169,3.0100558321018513,9.637692640808917,4.120364259345215,25.37254986901008,4.4698462859000205,3.0100760420485364,8.60702959547891,8.836319091244862,5.01000811564594,20.74738668615669
7,love,spirit,scientist,use,point,revenge,begin,human,head,life,steal,base,escape,story,fall love,12.45852486869096,2.9398129048648327,3.9350724445025915,12.734796804656204,6.868836011975201,3.0100416142306634,9.179800443153633,3.9283780311634127,24.699563936471993,4.263667454505978,3.010068104815457,7.804944884430671,8.649886163413129,4.992707842718068,20.596140677236576
8,make,act,young,new,son,woman,thing,year,run,early,good,return,new,agree,want,12.296486562986628,2.857590102599423,3.827855793504769,12.55278295429092,6.84680562903819,2.977636260040816,9.082934481668936,3.6253929094481507,24.63193485442829,4.2419950523672805,3.010065365232126,7.761781491555323,7.454676670805616,4.96306776931565,20.20356119167231
9,die,shortly,island,kill,finally,involve,love,bring,death,believe,life,man,earth,decide,stay,12.022241088571455,2.769852199080088,3.811824852644336,12.498154246117167,6.344936144470064,2.882819374730421,9.064779815106828,3.4041165861318885,24.457346082173224,4.016637646857062,3.010056907530747,7.663811570778758,7.439081513574344,4.87614311777122,19.671043306099712
