,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,appear,man,defeat,world,earth,new,friend,film,life,leave,kill,year,kill,leave,secret,7.254378054130576,7.172992748946453,64.8666988228145,46.11847845061573,70.77986880735939,10.899630627102896,9.26261686527979,15.277559171642313,12.334242772261275,136.57468881260363,8.718563175907267,13.253298873571438,75.51715416439527,20.82008450957457,5.961747304350783
1,soon,film,rescue,work,space,film,help,rock,love,home,leave,young,attack,time,animal,6.39697534060581,6.40524674020738,59.36475700447806,45.80109003139598,69.35615581076922,9.943748215532091,8.949419289846038,12.891954191427152,11.650541721050867,136.20067998216618,8.41290549832512,10.042681734468726,61.542948934588416,18.641559823586455,5.719536644245808
2,film,year,battle,film,destroy,turn,try,nuclear,tell,tell,work,try,body,night,kill,6.317610516967746,6.315475017575409,59.055912824682345,41.34857277591656,67.1630884703855,9.482868017340818,8.702562153578418,12.475352581023785,11.434271881201258,132.5607546107804,8.187649905708042,9.564809564915912,59.36179640624562,17.152230433074426,5.434467012847909
3,begin,lead,escape,end,planet,death,decide,return,year,return,reveal,life,escape,cause,grow,5.967851404164789,6.183327549383191,57.793257183915856,37.59944449104159,65.23665151137091,9.353812928521974,8.569728312515345,12.265923564444588,10.357534812332041,128.51468308735457,8.034019591077312,8.55778903771917,45.673565559627846,16.07173806002102,5.052781256609772
4,man,group,capture,begin,force,girl,fall,world,film,night,order,generation,inside,end,stop,5.875452447731754,5.053933296157281,52.4938770253352,35.94489256516056,59.8536608177198,8.967621186272913,7.56576067874286,12.118629323797464,9.699953441827523,126.53383986970933,7.062285842994557,8.049864932347099,45.56038210992876,16.043344436999295,4.763292175427611
5,turn,return,attack,new,ship,world,run,rejoin,come,away,use,live,building,force,escape,5.850800048664412,4.526475507626566,52.003171044963985,35.777244424757136,59.1096264804296,8.697181350542715,7.46441458769658,12.049999996721127,8.915034453248046,121.06675635248538,6.797068596894351,8.029171436921448,43.759056664667,15.625206186466245,4.742143656284722
6,woman,young,kill,help,escape,year,kill,earth,turn,friend,underground,girl,discover,father,creature,4.629926510152312,4.306064801701545,49.46854115404566,35.64152711386402,51.25390422365769,7.993833797331388,7.46230213171383,11.829006569193606,8.701151590273248,117.78388278889464,6.429442921480209,7.350556827296032,43.15061398798591,15.340498142302312,4.67213548243583
7,return,kill,world,high,crash,end,attempt,travel,event,try,make,old,try,reveal,experiment,4.6197108799804,4.298773719915881,48.89933620996151,34.92923061444094,49.3934958378101,7.845334946250396,7.123998216129085,11.432005360424618,8.534934464297175,110.08912632357385,6.36409409208147,7.22831174421877,41.47281363016376,15.125807159558265,4.586101790562727
8,killer,orphan,power,people,time,try,arrive,end,friend,meet,drug,turn,gun,return,effect,4.558285905222402,4.05145243065164,47.722115877403056,31.79134090176729,45.390031667292504,7.777897635785745,6.615484806839845,11.42765244346534,8.511592771138993,107.01070783711397,6.249356176133745,7.021124459590503,40.93666169640832,14.53644727224744,4.565040696371815
9,continue,want,use,attempt,leave,love,eventually,decide,end,run,company,teen,investigate,power,learn,4.483753687557631,3.9198062807499676,46.319317242536904,30.036800746242093,43.9648154453878,7.601581219411926,6.614957183164438,11.244635560383182,8.491439897560271,105.76244139196704,6.121870630461999,6.630374802172177,39.76180890119127,14.245628872066408,4.376881808740593
