,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,old,scientist,film,young,earth,discover,kill,turn,kill,company,meet,film,tell,place,world,34.23354825022269,13.783777611088937,4.92936733853089,6.505375856567354,58.019982515308655,7.021259402796035,45.068825025480585,10.643045682801224,5.10217278332856,3.903622808845345,10.236923668307783,7.825869410667378,48.41293395955488,3.0500892783668645,9.352296358014415
1,woman,try,old,eventually,space,similar,escape,help,finally,group,include,long,home,form,kill,27.942217703548554,10.974725688023275,4.524673904039004,4.3315951473998515,44.47456316004786,6.011325065314552,45.06715967226987,7.4747384331951885,4.851749100446434,3.8865976147532697,9.789436377655234,7.623137958809939,42.75923387565559,3.050082528154981,8.092112495826331
2,fall,man,glass,battle,ship,earth,help,offer,expedition,family,film,shortly,ask,fact,scientist,27.644707925093716,10.773184541400886,4.036137342110786,4.050103464295295,39.32154332538155,5.292192628871792,44.09804599925183,7.163472069435765,4.05001047712603,3.767421111207181,8.22853483530241,7.017780291038846,39.105097618630836,3.0500769667982843,7.942125897210065
3,film,woman,office,plan,destroy,planet,leave,save,island,turn,arrive,begin,try,tell,escape,26.85821432875649,10.59050681376999,3.9460444632552982,4.0500931134050875,37.89539465796062,4.950127641892392,43.20423880551588,6.663317331675001,4.034601686268064,3.294770194821248,8.05619116383918,6.782266380365268,36.74669253033033,3.050065214080426,7.504457715528505
4,year,cause,pay,young woman,planet,kill,die,realize,come,operation,escape,head,leave,similar,man,26.53794357175621,10.406536060520825,3.7634274308478703,4.050080661287608,31.785789606326677,4.949292611469283,42.540761009501736,6.33861665856422,3.999623225638533,3.238802480388809,6.787711760772751,6.4823955736442,36.35331206202266,2.9305986537836937,6.869890873774012
5,live,leave,police,like,alien,time,lead,cause,appear,away,send,end,say,use,film,25.22804525170235,10.321389213902675,3.550542673103901,4.0500806397500915,28.69505731546226,4.691325163822418,42.46360586264808,6.274279435144365,3.707556824589785,3.177001086038507,6.536879140959965,6.00587866318588,35.57523461385087,2.5910709436907866,6.288464090153901
6,come,wife,send,man,land,destroy,know,hope,man,doctor,plane,body,run,return,live,24.431951059348606,9.9605367844858,3.1906387616620333,4.050069684930585,26.68880535996158,4.437861126627226,42.29329681945467,6.257178406492137,3.539410410080271,3.1520393953799744,6.506977288928953,5.7279057727880485,33.46783299793952,2.4321199437070806,6.281912346873397
7,meet,car,inside,murder,kill,space,death,order,soon,creature,series,throw,look,know,death,23.954270807357315,9.883597618246764,3.1836756635802868,3.907009172073464,26.471884463115327,4.378719986675203,42.04250675874097,6.2146827496900325,3.5389951653480947,3.114694117909996,6.212527863563319,5.683139514802557,31.64166946763327,2.0500558506411912,6.232482848010535
8,love,young,test,woman,return,film,new,use,film,sign,surround,battle,stay,film,know,23.950574639253457,9.872442611104146,3.138476214187371,3.880620928120873,26.415854115356318,4.3467079167546965,38.433559629223346,5.7644598275515575,3.5287437684447642,3.0500440491091942,6.050036738408857,5.5323773646337076,31.172419622886938,2.050053313470944,6.201340851191779
9,girl,experiment,set,try,earth earth,number,later,friend,turn,tv,help,man,begin,large,die,22.78716380490685,9.638503306126152,3.132251625579315,3.8662568031294247,25.60680422918456,4.289257895707569,37.98994482958458,5.205615719318822,3.511381967040586,3.003460731682322,5.83236167478553,5.398484097199815,30.730290452679775,2.0500527522857634,6.088974981167951
