,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,wife,time,meet,power,try,time,kill,kill,escape,leader,earth,life,send,woman,killer,8.627913116049161,44.51598897770508,13.488514350183275,11.107399635047987,153.37773320266575,8.610735442496235,99.27587463517436,24.07946204674323,64.66067589902384,36.15924846310106,106.34697796396564,110.79558132855897,7.620808468445478,25.355713386460266,15.494026670769403
1,time,people,friend,help,tell,end,attack,year,help,lead,space,love,try,love,kill,8.188157275033603,36.782236065814935,11.400642976658716,11.088251742177064,146.58927267982747,8.129851915334907,89.00491864038719,20.788639988564288,55.99131386583784,31.378097798643665,70.83955901949676,105.06648313448892,7.254577680481155,23.165277042640906,14.122290925191582
2,kill,begin,film,destroy,arrive,year,destroy,end,computer,order,planet,help,love,man,serial,7.3679055323450795,35.86695775633096,11.311364193542524,9.361255160287753,145.46427923142417,7.972525982967378,77.68605501872815,18.65717175714916,55.83109037869062,30.953986713196702,66.61001215253529,103.27427839874362,6.782612560941038,23.07100366206455,14.04999999560844
3,tell,like,time,tell,leave,tell,remain,later,team,bring,earth earth,father,end,live,serial killer,7.242823363647739,33.97812163810305,11.170077125738882,8.957414701791066,133.8214215997261,7.651581947234306,62.74631426607744,18.121803363347887,52.75696511883673,30.08052364861815,66.04999999453392,98.89799950253027,6.634722469974166,22.165574213017873,12.049999997555073
4,film,leave,travel,kill,away,death,body,story,kill,world,alien,end,human,young,survive,6.865684402222428,33.62830806897458,10.613488394308181,8.739583652096572,129.35794812067223,7.233632318372958,58.819732227882696,16.299852496072294,51.275891634739445,29.24696563421691,64.10129038761265,95.9824648755456,6.611722256005765,21.10578649893403,9.78507261755176
5,come,story,way,reveal,run,run,wound,death,order,story,ship,friend,race,family,group,6.855404837949371,31.5379979372741,9.901812447407547,8.648061054598037,124.07789236092293,6.9566543307760815,57.25218741269241,15.22867417656509,49.04649167871618,27.72481125692421,57.471433299307904,95.49987058091378,5.657712810453019,20.8902601968689,9.26821928763487
6,young boy,wife,allow,crash,come,return,fight,try,government,fight,crew,meet,film,fall,ex,6.691160904751779,29.617867552415312,9.657033797628666,7.931649381007374,115.62634133046475,6.795404127536597,53.14194333978608,14.609904628301479,48.58045801572803,25.95654234448955,40.1822788126314,93.03622475484366,5.64684776445485,20.50628724828656,9.11475615478109
7,begin,point,year,super,make,arrive,power,send,secret,capture,pilot,know,meet,father,death,6.422114360776695,29.517918989102533,8.845188587850913,7.826283031380564,114.35400677741907,6.28032063778293,52.99561565160568,14.59820049449593,48.57893122520617,25.82509864221478,33.920500064581326,92.61807191363042,5.368433816607046,20.50152420100142,8.777382259602078
8,know,movie,defeat,hit,later,away,creature,man,destroy,film,year earth,return,turn,mother,hostage,6.353783834101822,29.37126791819384,8.157391124028097,7.810685788752622,113.9441868086325,6.169364925093734,50.43402383026992,14.153049451588846,47.77460315729628,25.731275699776052,29.038767779929454,92.4989857422682,5.275441387114799,20.04152070114037,8.040028730795143
9,new,love,life,force,return,place,open,local,police,army,new,day,fall love,life,device,6.248636855345876,28.906944397431474,8.09066399183053,7.719756822958262,112.80383753482651,5.893959140184249,48.47580296490861,12.976419139002617,46.81702049496876,25.631232535187298,28.622445335962787,91.42132797994897,4.99140724089569,18.950255925580585,8.015720055905417
