,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,reality,comic,kill,film,school,film,love,war,film,destroy,havoc,earth,magic,year,film,run,woman,discover,leave,kill,travel,day,love,film,boy,murder,scientist,discover,work,loosely,52.84515902175371,48.66701052141048,463.4269694416649,24.646546397899197,164.21269916801145,54.06793788101914,447.7129108379253,170.87155636135702,57.96077778164061,346.7051381022573,70.98111965577003,651.1664642415868,244.33583811823664,423.9121924728313,27.98585191448103,356.8174810617937,109.52989557057057,49.00536414047783,142.98575453245954,480.64567510764,102.7399743321699,67.46046898234836,141.99239188432156,61.178217094541026,50.63093470933054,105.2918185212165,187.3644191067982,33.898473613164136,168.7963863473366,14.650131186370285
1,virtual,comic book,body,young,high,island,marry,world,character,escape,wreak,space,return,old,character,away,vampire,man,know,attack,time,life,life,century,end,mysterious,experiment,work,film,11,34.15658882215674,26.04999999441634,364.3187052315045,20.95334423864155,156.1911246598936,33.71568964724884,312.3560233700263,137.8288912311747,49.072759570089886,330.3870194643189,54.95943455498192,443.31335985205425,236.57365792512422,421.85197283882917,23.75570003526388,340.4730535333409,93.67883291746442,43.07263262755451,124.45423642209232,407.52926473693816,99.7689147191242,63.68691948103941,130.27128233854293,56.01618053447727,47.587223153095856,104.46924060108284,175.3489702882416,31.83962208479801,168.4919957665508,14.38675429113463
2,game,evil,leave,man,high school,discover,fall,film,main character,use,gang,ship,fall,year old,wake,tell,young,time,friend,fight,time travel,leave,fall,world,try,kill,mad,man,new,house,33.44649152986998,23.980952830227615,319.451605547288,19.559431521088353,125.04999999399938,24.940384241489085,288.0176332267753,110.41746993607056,41.03192898901241,322.7934621336126,52.61462736160774,442.1040118036287,198.57389972496972,346.0499999858702,23.170011829735028,324.46031217148317,80.88421563139782,39.68868551938062,123.52060722859353,396.3787943172153,67.04999999417095,59.93278388512011,112.3238925322127,53.85800291757089,47.46606162805106,99.37012364448282,104.68213565260581,26.070469289291687,161.06378048180378,11.83606761882774
3,video game,hero,shoot,people,student,attack,tell,end,main,kill,criminal,planet,form,father,stop,try,murder,attempt,time,battle,future,time,film,time,help,police,laboratory,strange,end,play,29.049999994077492,23.520943402058528,319.0544459024637,14.445564684316913,115.30163521727104,24.349295052283555,277.4298039006688,97.52005089101912,35.31589294027769,321.04846066306914,51.15485495709138,440.96608379286664,197.68489119376085,266.01585294259837,22.566458129799557,308.1607334906786,76.53808010590939,39.58481280888393,122.72288341179977,359.0867360658777,61.8588578244987,59.73668294370312,107.80206782526086,45.660657444571655,44.27520704725488,96.33806791671596,99.76419088156239,25.562008614800472,151.31348966475258,10.446697021450852
4,showdown,mythical,discover,human,love,begin,day,world war,plot,control,wreak havoc,alien,young,boy,appear,say,begin,woman,work,defeat,travel time,new,young,war,make,people,lab,begin,use,loosely base,27.28605599733682,21.764608750647113,310.18414313971243,13.283039225874834,74.64697335326363,23.05306527985322,262.35939930423734,81.34082196957358,34.72287059682913,304.70959641456756,49.94957634126308,382.4912474525334,194.66351383292155,221.16880516548747,22.372315429861885,302.59651291047993,72.88188648011985,38.813394830095255,119.88721817025969,345.22777951008976,51.049999993606605,57.10898142057026,97.52648157752022,37.132577225438816,41.15915003222963,92.07940405031458,75.51889494600047,22.982899149295196,124.85974755981185,10.049999995676913
5,virtual reality,book,dead,soon,live,return,leave,live,group,order,police,destroy,escape,friend,house,come,death,crime,day,force,film,end,fall love,hand,look,victim,human,believe,play,11 year,27.049999997291582,19.330868351264495,299.0691331256294,11.967159795183496,49.383146808179475,21.13567250910254,249.31955835405097,67.79989781086833,34.04243312654934,293.7763003153235,46.75973683140212,374.94295099326814,193.40380561548537,205.35203599842788,22.00184017680954,288.8103684697552,71.18172713279958,38.48953274394603,119.25295198536989,261.2265427266162,50.23994467764328,55.694803180025204,92.50736918680597,35.7239493043515,39.26951934347473,89.60091027950237,70.03819479974646,22.443850154406178,122.3885508791094,10.049999995584562
6,video,world,die,start,class,world,live,year,tech,force,crime,earth earth,turn,son,strange,leave,die,kill,later,escape,present,help,story,world war,film,killer,create,look,attempt,kill,26.808746138532452,18.13696680484408,294.4001032248886,11.876276337909424,46.16173440190741,19.324324807246178,244.17218000682504,67.30990369585018,32.049999991608644,268.3723949138909,39.262930973923694,316.29840282551953,192.28261345414745,182.72622356998204,21.05405897352497,284.59037790248556,69.90568530559622,38.33477429739126,117.56470240354795,260.6783254650383,47.09831715501993,49.01904700752451,89.11235278253328,35.3875572607442,38.09703856087703,86.96072127742025,67.96615556645709,21.837608597014743,114.81080334755009,9.692866533393024
7,world,mystical,arrive,love,life,sea,ask,american,follow,reveal,kill,discover,meet,mother,begin,ask,blood,commit,home,reveal,past,work,woman,people,friend,creature,serum,research,help,place,15.507485109198829,17.299616046667765,287.44874287249985,11.395582394603588,45.86617423226758,19.23853912393714,218.5589090356871,65.26558575103492,26.910277197984353,266.7634152672727,32.96578645779506,295.5528695653181,190.8318607707163,181.40534534412512,21.006420643598048,266.20544048420135,69.23341248090219,36.983804904451986,117.36041653839847,249.39290627669953,44.591901511731216,46.5992046526961,80.06791022507768,28.054643904959804,30.621822130099485,72.18250003642243,59.04999999276749,19.314703597726076,113.88386863281605,9.500546040005691
8,warming,man,attack,life,story,kill,return,know,government,attempt,attempt,crew,rescue,young,book,hear,man,help,return,destroy,year,christmas,play,year,home,investigate,mad scientist,sexual,turn,day,13.0499999964683,14.376989530626883,283.0722987175129,10.979145395475264,44.330148161722754,18.97878271540884,214.7341254310494,55.99324511157387,26.05401289760029,240.55880074554202,30.79102109890346,288.7352804599327,186.38901931807442,174.8851411607523,18.595830451144597,265.531294132602,65.2404207390995,35.40936546971001,114.08431321183507,240.45716458198675,41.24747114819317,46.42826226934982,73.7917534557221,27.976504298136526,30.340362846865254,69.96455381148621,48.03402819687786,18.72775453425003,112.16523254578763,9.10866314171835
