,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,earth,small,day,kill,world war,kill,world,film,run,home,hospital,young,destroy,young,life,21.666988318577936,13.341643721008753,129.66265924816904,79.20692387521571,14.668004881155747,121.07515956861305,22.905464201221008,7.953595517376927,56.281959083556714,14.670851643595476,10.893304565541081,37.541591815734435,113.70258221516534,21.05717896647403,8.650660185631764
1,surface,try,time,shoot,ii,fight,story,life,inside,house,begin,friend,kill,life,child,19.483499327992902,12.170654313935088,129.35796366134622,69.17828083477623,14.009999999994204,110.14386542899491,19.839750760937356,7.756607682835441,49.777459983188734,12.1511194585167,10.151232618474795,37.127978828139774,90.92494702082314,16.783179406684138,8.343961144733347
2,year,town,friend,die,war,attack,man,work,hear,look,discover,day,escape,time,kill,18.272870114738595,11.613867249382565,121.47913097925132,64.83356627270793,13.949060474503852,108.94738441917258,16.74750928450777,7.043854665208746,49.258910484163145,11.046397950816647,9.742281935283414,30.62975217568865,86.57287410277323,16.488350319258142,8.257776161703068
3,attack,begin,tell,attack,war ii,escape,love,people,appear,begin,save,story,earth,die,earth,16.705595189639595,10.378149833145097,118.21064535131445,62.33158966768195,13.009999999996927,102.35488249468082,15.407784506127276,7.007265460187225,45.08943622950549,10.597238253386907,9.727309727277593,27.76097899569935,85.7895321541009,14.74042429529389,7.984109447221015
4,group,discover,work,man,return,reveal,human,embark,walk,return,ago,film,use,day,discover,16.690217320940803,10.07610988973151,117.2269151692489,58.62716603463455,9.381913464672282,99.81003825357489,13.651051127587435,6.95908426302281,40.62669669173613,9.54270347958595,9.420566834992059,27.10383851057831,74.15365943118492,14.60611477929967,7.890955540918699
5,time,scientist,try,flee,world,return,woman,follow,stop,day,kill,world,force,meet,send,16.56636067470456,9.950090406866,115.72696795411676,58.618692987129215,8.298779514076019,92.19026560830802,13.13491794848738,6.8580358793273515,39.367711407500394,9.281185854786168,9.370354424863795,26.070450091795518,72.86494907707937,13.810560405713513,7.7471483890029065
6,small,come,life,later,lead,order,affection,arrive,try,happen,life,love,send,live,meet,14.912452011587506,8.93978827474844,111.9690798474793,55.16702369316514,8.204591918068582,91.89014569948255,12.848817372859612,6.307218684685838,38.74770303940254,8.317117526056897,9.353655846232298,25.909010236823246,69.8663441737955,13.605660445736444,7.702952717567887
7,destroy,friend,love,people,death,battle,life,man,look,end,year,good,attack,discover,time,14.757147241843867,8.803319830856948,109.76287761022591,54.2952609768659,8.09360755339395,91.80003996469442,12.560482119320707,6.21920256173472,38.70010723013712,8.150739422335645,9.03452644440992,24.94818987158194,68.27716501125782,13.219600849513487,7.666105213344906
8,death,people,decide,body,present,power,time,meet,open,bring,year ago,kill,cause,know,change,14.426627631641509,8.701517916457108,109.49115966469518,51.80963708895565,7.269458389681566,91.54772306731056,11.908240425822896,6.203859994418243,37.70177237393868,8.114484957286864,8.679971111097514,23.317341545262913,67.22116557661988,13.103632673160677,7.620163065411735
9,event,basement,meet,dead,son,tell,people,home,away,tell,time,life,control,return,come,14.142855618186301,8.527947718908614,109.28007144037183,49.299749851950686,6.722685494557961,89.36320383667181,11.887749161428127,6.1784291149119115,37.05848561794348,8.09080288321294,8.29592442165191,22.766286218876857,66.71075079997804,13.100122108609737,7.568558810256525
