period,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29
2000-2005,0.012189746843715219,0.008791048287012628,0.08641518786625417,0.01000727388864002,0.014725822025452653,0.012255564587847014,0.06091439970183619,0.02146067659061535,0.01322638003651322,0.10375130408497851,0.013400132303411572,0.07711137043088064,0.07007058158125401,0.04546930579548424,0.009461937540201587,0.08200883047672353,0.026599737586838926,0.015435273376200877,0.04333011640562257,0.08002187737200736,0.013935563074207515,0.02287922691289569,0.025990946457565202,0.015203917255786145,0.012686351763486281,0.027037132362894883,0.011170634119713236,0.008783833845844788,0.05011644305202335,0.0055493843740926545
2005-2010,0.0064530768142703155,0.008464213598904273,0.10372640017565825,0.011136390503240985,0.01922263637721202,0.009757044180889738,0.06640689929922067,0.02327956209828363,0.01148105773463912,0.09230855454970467,0.012895763934367815,0.07185816258834445,0.06548799262924593,0.044529003395164905,0.009930284514444972,0.08230673201789845,0.027936829313197405,0.015153363231396676,0.04746056356121936,0.08074840052830595,0.012485198352860332,0.02150149800711677,0.023063303585650244,0.02030800575282198,0.013316028850682756,0.025034007706244525,0.010605453513472295,0.011974166670152326,0.044261591643302324,0.0069078148720868645
50s,0.007577719951121686,0.015562345559779188,0.08615594355383621,0.013069667417388036,0.019285171033352397,0.01067852611113105,0.06109785038697607,0.015947891859096928,0.01404336360964773,0.07498006407525784,0.008601188412969963,0.190694419469446,0.06988680170425783,0.023437818423300956,0.021843671579556974,0.06678232963157267,0.017714199811439634,0.017772398838832984,0.026350537445530564,0.03506225252626296,0.010916009419715704,0.01417278786268636,0.023054154154918915,0.012141801999002154,0.019602212858294988,0.043272812111619575,0.02526534399409138,0.010998937062321652,0.035767681897139025,0.00826409723945256
60s,0.009186444993126212,0.016015708302056054,0.06533619779201455,0.012798693430390353,0.012562585949419856,0.02016157150420597,0.04499047042257806,0.021081741588495444,0.021950633125336155,0.08320102029771484,0.01685005866103779,0.15036933657356183,0.08624712687436756,0.030338458475910095,0.01474931607906298,0.05654521889555457,0.0257307183864334,0.01984215588493189,0.030256044133030978,0.060874019317880355,0.014724447112534698,0.024644284389956778,0.026452358658593383,0.012648449180953524,0.01868680867880754,0.02874217976888979,0.02141802412163172,0.0061576751454757,0.044465479932293064,0.002972772323754835
70s,0.01254322618940619,0.013445343570016388,0.09527558292102542,0.006704684475947216,0.014264513828481611,0.013131164092139033,0.04682538046597874,0.01974502418436561,0.01190885251943878,0.09235877914691694,0.02389601223540915,0.11336831667920255,0.061448158975758393,0.03673486234837251,0.0166424012034685,0.07122587015548962,0.03318775707978126,0.017576432607447796,0.03669300683383876,0.04549755141911627,0.014981107863862676,0.022396525646548444,0.031712963641146306,0.015090287430536654,0.01568106675310428,0.02823313757291068,0.01991538487181555,0.011169669329120805,0.05083357786080095,0.007513358098552905
80s,0.005561878415323612,0.007195225471544612,0.09018412492014677,0.00776011640806325,0.02107963374209464,0.008321943230756038,0.0464955046426302,0.02208465443038624,0.01680414604680994,0.09710073735411535,0.017190446650103025,0.08319614295056517,0.07552976010736907,0.04217533160206799,0.018162233780281103,0.07697127660971538,0.03148377168999818,0.01660367501169212,0.03813491000137696,0.07573567420058142,0.017148931387834604,0.02259669685888249,0.022224696171484492,0.020762999516666315,0.014147123794060834,0.030387608135416768,0.014626057683256614,0.00737568062166338,0.045653324753292604,0.007305693811820822
90s,0.0073704267053508465,0.01131717725798368,0.07514493192525228,0.008539998188697096,0.019224511585628812,0.009403659713798649,0.0643892888721526,0.023220569306681916,0.01483030772501472,0.10623944974459441,0.014023166855785302,0.07660369979178766,0.07031069373545115,0.04597695693845515,0.009115949888317876,0.08238895659297332,0.024151010592645197,0.017013375925205007,0.03885575624843448,0.07523286292897338,0.017600416908553775,0.021827263417900405,0.024762845947555304,0.011589978015057928,0.014687756833387003,0.023122515971806794,0.014146350907128975,0.016939600166934375,0.05207658404707846,0.009893937261413438
after 2010s,0.006920566714986723,0.01291502182360866,0.09161847345320721,0.021375064067981266,0.026355927445495017,0.011484007011199504,0.06108075279389108,0.024281333722391267,0.018791861407727452,0.09148674278297071,0.0164722673282364,0.07191740478066372,0.06674462470574284,0.05173828678689726,0.005768013765903071,0.06038967904043558,0.019319148898539487,0.013014985105501675,0.05385959823678933,0.09186776152600397,0.012870227160124086,0.022378313722117057,0.028810758856458688,0.01565389530214728,0.011288732631341015,0.023800398947810778,0.008072188748510204,0.012006493555293036,0.042444869165082715,0.005272600512942899
before 1950,0.0032026090148068124,0.0049785970784537,0.07541392234806214,0.009425220985773326,0.022758714228897723,0.014422734543598006,0.11405375603076259,0.02840033828960509,0.03201348837180016,0.03545161415682722,0.021894438998387483,0.04686279330676207,0.09965170730334426,0.030915161638131353,0.01534145320535859,0.07856958141991534,0.03128466158549577,0.02148422732847865,0.030174807864788388,0.058277535228276056,0.009943567629522346,0.01981116579185323,0.05420671677057355,0.022553474365606348,0.015865830268305233,0.018983610507384,0.023922544500411334,0.011838313123838755,0.039224947117940355,0.009072466997040117
