,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,woman,love,war,work,murder,try,leave,attack,asleep,tell,ship,leave,play,scientist,escape,41.86145373843517,49.08132037230524,84.60876180613046,23.430739753470426,140.9921939508189,32.53184292546414,106.95969989327202,24.173017229045193,41.973899536983325,19.057535631892343,28.929217384871645,150.7046508974789,42.96615854587793,23.507299422113963,42.09474610557002
1,film,fall love,world,use,kill,man,return,rescue,appear,money,catch,love,friend,section,film,40.15826128681914,27.573778542760625,62.29238312940503,22.61176099657809,121.7244029923355,28.491447912795277,96.76376091202776,24.16836479322917,35.47876988015275,18.811153469493377,22.865302322139485,116.26174103980036,38.80197892627906,21.04691914964986,36.69719686248913
2,man,identity,world war,death,death,prison,love,manage,film,turn,kill,return,star,turn,capture,31.285448044089573,26.993149567619625,59.04999999601343,21.313259507638257,90.85560522710517,18.922336793882593,91.7323546000883,23.952089432839827,30.334937700868434,17.196057020912157,18.71909536039806,115.32994317306705,30.16498122009512,16.767585996723422,30.175853949187072
3,young,man,ii,agent,body,suicide,marry,group,fall,love,boat,tell,fall,discover,help,30.46236412360534,26.9350244398954,35.049999997096656,20.58842060310515,89.3978350460207,18.66532880998152,82.87074993333869,23.792722407528135,29.307825349094603,14.335369406217529,18.64552261872822,113.87574117202197,30.143783114309635,16.759827070458233,29.747654542589288
4,fall,true,war ii,power,dead,town,year,crash,come,work,rescue,work,tell,native,lead,30.32770925378815,26.032860302235818,35.049999997096656,20.139717403954887,88.06561086841022,18.231717583850163,81.11661450530637,22.481584897273954,29.210534453215693,14.269648325693128,18.431206655115705,107.65266801760923,28.359899594342206,16.60402139830058,29.689491906058684
5,meet,fall,new,murder,police,money,die,plane,fall asleep,tell story,send,home,good,help,force,30.140733614414728,24.237200899904497,25.319114364507666,17.240210629893774,88.05975191854435,17.19560815705001,80.59046088622044,21.6337679441976,29.049999996356867,13.588916180819831,18.066279560110754,106.22359110813568,28.201142362788655,16.32235534672074,28.814889169983488
6,love,young,ship,attempt,man,kill,tell,air,try,marry,away,try,marry,professor,order,23.868666766922377,20.91259248897511,24.62959222944843,16.359666266771143,82.86945042405665,16.82210369111223,74.39305342910097,19.29783156799962,27.33709803964248,13.27206004480564,17.885459762549115,97.43291764607378,24.797590681044447,15.79136632065072,28.595980279501482
7,leave,true identity,try,inventor,shoot,release,away,stop,chase,story,life,time,meet,reporter,come,23.091709726471272,19.049999996545534,22.997583032612383,16.049999996956075,68.70357327541797,16.68633689602871,71.65288916256327,19.201444403985583,26.893284046725416,13.0916572982177,16.864976038890482,96.56675699993232,24.419744827073274,15.684233231025935,27.18637779566539
8,begin,story,man,escape,escape,commit,father,send,play,life,end,ask,girl,attempt,man,20.036394195148365,17.001183970393846,22.648563419277348,15.205207332623646,60.93233945762772,15.664193198602437,70.22068737150836,19.113524086078236,26.411862984064083,12.924699364338496,15.341733917599452,94.79563418423501,23.453532732195658,15.555398499631783,25.54083365597455
9,turn,son,arrive,scientist,reveal,wealthy,day,travel,enter,kidnap,board,come,love,man,story,18.994432483824202,16.84802165606961,20.687183027767393,14.984965530550339,60.63090464401196,15.659746764756624,65.15389259266391,19.01026620495144,25.299363074076044,12.526762536340765,15.269522899984823,90.01425490627456,21.24835552021487,15.36322528443039,25.432355178937645
