,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,house,film,school,death,seek,time,murder,destroy,scientist,leave,run,kill,day,return,help,95.62205543644949,49.633948116621276,94.53554572725919,17.998897300438465,48.83748802524897,29.433593408641897,80.68635631213195,104.95677830663062,59.161592262533404,116.62362188734417,88.59403731623793,67.26680933616746,81.99361837769635,80.6273712167904,37.35076649245818
1,kill,wife,film,ex wife,kill,day,killer,escape,human,return,away,shoot,love,time,year,95.49083754238374,30.647070049917765,77.29131961544091,16.009999999989553,44.43453091027764,27.519793090826465,77.80864171897423,99.75074104320117,56.93061576604949,100.51271413869858,78.52053678879447,65.23033681269578,79.32840145427113,71.9528586001619,33.988846297595366
2,try,year,love,film,man,old,police,kill,discover,man,leave,escape,night,fall,old,88.146754062765,30.532467007825684,67.61127404411255,15.05752658649431,43.79827300146757,25.944834711401402,70.69215122200752,94.81428425199775,56.625125832822576,96.70010203530799,74.78578252472565,51.85439304022576,78.93073150710816,69.20334716324876,31.376084091223024
3,home,family,high school,wife,young,world,case,power,destroy,work,night,fight,leave,attempt,new,83.73836413384286,29.81845827017667,67.27244593859521,15.019667507489494,39.323953691045254,25.775564222444654,58.45327546091567,83.58763122087383,56.08966536270916,91.22351724454,71.52102601503611,47.51638366005196,76.60361533736351,66.79368848488096,29.485133391429976
4,tell,life,young,return,force,life,man,attack,escape,tell,tell,force,try,meet,boy,80.55306981239113,29.2043861549665,60.02432038434293,14.087962020079129,37.689755998756475,24.31015253408341,57.911375266711445,80.08810423885522,54.69828515483629,88.70866093016274,64.38560042586107,40.11564758092751,76.33324454123931,61.07568543672684,26.67089895453552
5,room,son,high,life,escape,end,young,creature,earth,end,escape,send,home,reach,kidnap,80.21638035916966,29.09374163903914,59.82709283094275,13.708844515144591,36.89936086529966,23.808704379567864,57.90640050605283,77.97453828772554,49.33008010291941,86.6267702898737,62.741262389997374,37.10294333969038,75.32887289580992,61.07333594862223,25.951071850240982
6,body,story,life,eventually,battle,year,woman,use,control,refuse,come,man,friend,tell,year old,79.35745616577361,26.90768801581546,56.94559509745584,13.514848488168193,35.269261543207,22.471536711916386,55.322026084819434,71.78967579685859,49.19650522789112,84.900319451792,61.599896965084916,36.817395308811534,74.89315224881312,59.52587038050797,25.547397668162194
7,leave,star,friend,ex,save,save,work,begin,experiment,turn,try,gun,house,rescue,father,77.71080836347355,25.594217872194612,54.71123785068368,11.775071019685448,33.532368035278864,21.917480772538003,44.22635623285268,65.94427831412739,48.209431951274205,83.5886960298666,61.31546890390491,36.58480949887282,71.26135428861745,57.2801385798866,22.316979237156186
8,away,new,student,local,son,tell,victim,encounter,create,money,friend,death,mother,home,story,74.66334390934291,25.343418223322224,45.56925015104058,10.002224200653739,33.4974292295661,20.178731848116925,43.00208309679644,65.08101955075674,43.329210765333215,83.11642865719867,59.10959000051864,34.161240707369274,70.78385274085164,56.183404843689566,21.001794892754674
9,car,know,family,kill,attack,post,kill,capture,attack,later,chase,hold,tell,help,soon,73.93430172513705,25.164690176915695,45.2906912012586,9.939648342766649,33.21147160300672,19.40672163536435,42.067708691286,64.24998193051097,42.87236729066287,82.46059221561674,57.73021930073345,33.366788558921684,68.36407010548943,55.59906514459522,20.555720718439478
