,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Word,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight
Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,young,earth,destroy,girl,family,death,start,police,kidnap,section,love,kill,film,leave,creature,47.07890997768251,37.32832282209555,64.26295609869081,34.73949103441767,25.22363917948214,9.952565929916354,8.712224778905393,62.90696874116834,8.592503910134758,16.049999995757926,94.52831882550657,21.218898910648353,37.13650485638104,128.0705702858125,26.898120807837035
1,new,military,world,young,young,start,release,steal,kill,mysterious,life,man,character,kill,murder,29.604179015260616,33.10018896544084,60.19415299369524,32.707573552236404,25.17950045048249,9.169327198852846,6.093603160468968,52.0538962048645,6.892042372660735,11.91244680441887,72.7820356518389,15.938253032671206,19.3233680793195,120.6032516623095,25.85885837161144
2,man,attempt,use,end,life,film,invasion,arrive,plan,help,year,return,story,run,help,28.923431237794656,30.867615432191055,49.89324839585595,30.568543014733034,21.399298500113545,8.629310060450486,5.916988179739244,50.71873053235961,6.510231704946432,9.037132520033559,71.90477380260721,12.989659883008988,18.958790916115415,114.42419530216345,25.23802058727248
3,family,destroy,kill,film,daughter,run,return,kill,seek,place,come,try,love,try,try,28.464205296879438,27.59699573300006,46.882336979492905,28.25037366002869,18.795083233363098,8.494542131560598,5.317572976219859,50.25173127763162,5.964647947201944,8.50867698278116,71.09013488904547,11.412962055569533,18.62601564530888,113.86297587868255,25.14615314545233
4,live,work,attack,boy,world war,kill,man,arrest,life,end,want,follow,scene,begin,house,25.295420743657292,27.495500174320114,45.362469200293425,21.825252093973788,17.543690753354106,7.753526391399766,5.2400613786688615,45.825503652805494,5.221173614623771,7.931497663287774,70.22462361754714,11.31520292248335,17.89779844451741,112.16492050177128,23.47203397503542
5,old,cause,plan,die,young woman,discover,work,reveal,love,bribe,end,isolated,lead,tell,tell,25.00180500677809,27.314777645513626,44.73033007239495,20.038035706094785,16.913269538899847,7.428514269385197,5.099051199494478,44.86808581925857,5.174218943068997,7.7179745124339805,69.34661380384176,10.91249565472329,14.352112341217392,110.73603894559446,23.25224022243837
6,child,crew,fight,different,kill,search,hippie,know,pet,control,old,war,war,away,leave,23.800713056206927,26.4097694704645,43.47675789256833,18.671939782219372,16.6448196213139,7.077163091877132,4.928910923493952,42.678546319175084,5.050813641747567,7.33017357505574,65.5743075287436,10.852375651336374,14.319199474251677,109.29504433692149,22.79161379650283
7,house,government,ship,home,war,insane,believe,discover,ship,film,meet,leave,set,later,turn,23.136911867123178,25.69412006045621,43.02329482754751,18.581924484215364,16.16344133003779,7.069558533913554,4.92533713018235,37.54345663024299,4.960271179360698,7.282100834019401,64.84983357107264,10.391474521191407,14.309096186295795,108.98194268621833,22.144322109727867
8,woman,control,human,time,woman,life,escape,man,modern,attempt,wife,shoot,possible,night,begin,22.483583548518343,24.703099758215167,42.332803418364854,18.30079482438242,15.351220710001353,6.839285600564729,4.760070149998993,37.404985259621256,4.938139130545645,6.902472890632667,62.16313177840695,10.335391768862168,12.949348679658291,105.86423232613471,21.1982567614116
9,mother,life,return,play,live,end,sister,money,set,group,work,escape,meet,drive,soon,20.42156009744024,24.553340911431203,41.66914912674414,17.8864944373051,15.003929064934923,6.812428847670544,4.756265512742418,37.25837153483887,4.886055569388779,6.701417444071458,57.799450249136186,10.131029195830969,12.651729201620373,94.01185789141924,20.958658038175237
